annee,gouvernorat,superficie_ha,nombre,region_id,matched_region_ar,matched_region_fr
2013,نابل,111.329,16,11,نابل,nabeul
2013,زغوان,1036.0826,42,318,زغوان,zghouan
2013,بنزرات,734.525,34,15,بنزرت,bizerte
2013,باجة,245.06,34,28,باجة,baja
2013,جندوبة,47.2855,28,37,جندوبة,jndouba
2013,الكاف,1257.52,22,36,الكاف,alkaf
2013,سليانة,345.975,20,770,سليانة,sliana
2013,القصرين,220.4289,3,18,القصرين,kasserine
2013,سيدي بوزيد,21.24,3,167,سيدي بوزيد,sidi bouzid
2013,القيروان,20.8275,22,13,القيروان,kairouan
2013,قفصة,0.025,1,16,قفصة,gafsa
2013,سوسة,0.5375,3,12,سوسة,sousse
2013,صفاقس,0,0,10,صفاقس,sfax
2013,المهدية,0,0,35,المهدية,almhdia
2013,المنستير,0.004,1,20,المنستير,monastir
2013,قابس,0.036,1,14,قابس,gabès
2013,توزر,0,0,45,توزر,touzr
2013,تطاوين,0,0,5,تطاوين,tataouine
2013,مدنين,0,0,26,مدنين,mdnin
2013,قبلي,0,0,46,قبلي,qbli
2014,تونس,0.25,3,1,تونس,tunis
2014,أريانة,94.705,28,21,أريانة,ariana
2014,بن عروس,141.346,54,19,بن عروس,ben arous
2014,منوبة,126.05,7,774,منوبة,mnouba
2014,نابل,150.411,41,11,نابل,nabeul
2014,زغوان,753.6465,55,318,زغوان,zghouan
2014,بنزرات,1198.7231,49,15,بنزرت,bizerte
2014,باجة,439.695,72,28,باجة,baja
2014,جندوبة,97.2645,111,37,جندوبة,jndouba
2014,الكاف,1645.34,32,36,الكاف,alkaf
2014,سليانة,1399.591,48,770,سليانة,sliana
2014,القصرين,5.033,13,18,القصرين,kasserine
2014,سيدي بوزيد,25,1,167,سيدي بوزيد,sidi bouzid
2014,القيروان,17.897,21,13,القيروان,kairouan
2014,قفصة,1.5685,4,16,قفصة,gafsa
2014,سوسة,18.486,12,12,سوسة,sousse
2014,صفاقس,0,0,10,صفاقس,sfax
2014,المهدية,0.87,3,35,المهدية,almhdia
2014,المنستير,0,0,20,المنستير,monastir
2014,قابس,0.25,1,14,قابس,gabès
2014,توزر,0,0,45,توزر,touzr
2014,تطاوين,0,0,5,تطاوين,tataouine
2014,مدنين,0,0,26,مدنين,mdnin
2014,قبلي,0,0,46,قبلي,qbli
2015,تونس,0.12,3,1,تونس,tunis
2015,أريانة,4.608,10,21,أريانة,ariana
2015,بن عروس,0,0,19,بن عروس,ben arous
2015,منوبة,7,1,774,منوبة,mnouba
2015,نابل,13.1085,24,11,نابل,nabeul
2015,زغوان,18.045,24,318,زغوان,zghouan
2015,بنزرات,89.648,31,15,بنزرت,bizerte
2015,باجة,50.046,28,28,باجة,baja
2015,جندوبة,317.7105,51,37,جندوبة,jndouba
2015,الكاف,132.222,47,36,الكاف,alkaf
2015,سليانة,87.87,42,770,سليانة,sliana
2015,القصرين,22.0825,13,18,القصرين,kasserine
2015,سيدي بوزيد,17.1106,9,167,سيدي بوزيد,sidi bouzid
2015,القيروان,34.714,22,13,القيروان,kairouan
2015,قفصة,4.0525,8,16,قفصة,gafsa
2015,سوسة,0.055,2,12,سوسة,sousse
2015,صفاقس,2,1,10,صفاقس,sfax
2015,المهدية,0,0,35,المهدية,almhdia
2015,المنستير,0,0,20,المنستير,monastir
2015,قابس,1,2,14,قابس,gabès
2015,توزر,0,0,45,توزر,touzr
2015,تطاوين,0,0,5,تطاوين,tataouine
2015,مدنين,0,0,26,مدنين,mdnin
2015,قبلي,0.5,1,46,قبلي,qbli
2016,تونس,0,0,1,تونس,tunis
2016,أريانة,36.58,15,21,أريانة,ariana
2016,بن عروس,37.25,7,19,بن عروس,ben arous
2016,منوبة,6.75,3,774,منوبة,mnouba
2016,نابل,7.33,8,11,نابل,nabeul
2016,زغوان,47.397,31,318,زغوان,zghouan
2016,بنزرات,44.79,43,15,بنزرت,bizerte
2016,باجة,76.58,44,28,باجة,baja
2016,جندوبة,125.292,139,37,جندوبة,jndouba
2016,الكاف,792.305,20,36,الكاف,alkaf
2016,سليانة,638.8836,45,770,سليانة,sliana
2016,القصرين,8.688,17,18,القصرين,kasserine
2016,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2016,القيروان,58.28,27,13,القيروان,kairouan
2016,قفصة,0,0,16,قفصة,gafsa
2016,سوسة,0,0,12,سوسة,sousse
2016,صفاقس,0,0,10,صفاقس,sfax
2016,المهدية,0,0,35,المهدية,almhdia
2016,المنستير,0,0,20,المنستير,monastir
2016,قابس,0,0,14,قابس,gabès
2016,توزر,0,0,45,توزر,touzr
2016,تطاوين,0,0,5,تطاوين,tataouine
2016,مدنين,0,0,26,مدنين,mdnin
2016,قبلي,0,0,46,قبلي,qbli
2017,تونس,0.75,2,1,تونس,tunis
2017,أريانة,4.25,10,21,أريانة,ariana
2017,بن عروس,2.77,7,19,بن عروس,ben arous
2017,منوبة,2.005,2,774,منوبة,mnouba
2017,نابل,6.884,17,11,نابل,nabeul
2017,زغوان,546.597,18,318,زغوان,zghouan
2017,بنزرات,4394.661,70,15,بنزرت,bizerte
2017,باجة,516.769,41,28,باجة,baja
2017,جندوبة,1857.579,97,37,جندوبة,jndouba
2017,الكاف,157.43,26,36,الكاف,alkaf
2017,سليانة,2526.789,45,770,سليانة,sliana
2017,القصرين,1017.521,16,18,القصرين,kasserine
2017,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2017,القيروان,230.258,50,13,القيروان,kairouan
2017,قفصة,0,0,16,قفصة,gafsa
2017,سوسة,0,0,12,سوسة,sousse
2017,صفاقس,0,0,10,صفاقس,sfax
2017,المهدية,0,0,35,المهدية,almhdia
2017,المنستير,0,0,20,المنستير,monastir
2017,قابس,0,0,14,قابس,gabès
2017,توزر,0,0,45,توزر,touzr
2017,تطاوين,0,0,5,تطاوين,tataouine
2017,مدنين,0,0,26,مدنين,mdnin
2017,قبلي,0,0,46,قبلي,qbli
2018,تونس,0.8,2,1,تونس,tunis
2018,أريانة,35.875,9,21,أريانة,ariana
2018,بن عروس,5.5,4,19,بن عروس,ben arous
2018,منوبة,0,0,774,منوبة,mnouba
2018,نابل,35.186,11,11,نابل,nabeul
2018,زغوان,17.049,14,318,زغوان,zghouan
2018,بنزرات,6.619,19,15,بنزرت,bizerte
2018,باجة,76.149,55,28,باجة,baja
2018,جندوبة,29.139,10,37,جندوبة,jndouba
2018,الكاف,155.05,4,36,الكاف,alkaf
2018,سليانة,710.205,25,770,سليانة,sliana
2018,القصرين,1.995,11,18,القصرين,kasserine
2018,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2018,القيروان,8,2,13,القيروان,kairouan
2018,قفصة,0,0,16,قفصة,gafsa
2018,سوسة,0,0,12,سوسة,sousse
2018,صفاقس,0,0,10,صفاقس,sfax
2018,المهدية,0,0,35,المهدية,almhdia
2018,المنستير,0,0,20,المنستير,monastir
2018,قابس,0,0,14,قابس,gabès
2018,توزر,0,0,45,توزر,touzr
2018,تطاوين,0,0,5,تطاوين,tataouine
2018,مدنين,0,0,26,مدنين,mdnin
2018,قبلي,0,0,46,قبلي,qbli
2019,تونس,0,0,1,تونس,tunis
2019,أريانة,26.654,8,21,أريانة,ariana
2019,بن عروس,10.25,4,19,بن عروس,ben arous
2019,منوبة,10,1,774,منوبة,mnouba
2019,نابل,191.042,13,11,نابل,nabeul
2019,زغوان,5.207,11,318,زغوان,zghouan
2019,بنزرات,1.556,14,15,بنزرت,bizerte
2019,باجة,204.91,18,28,باجة,baja
2019,جندوبة,74.737,23,37,جندوبة,jndouba
2019,الكاف,8.07,7,36,الكاف,alkaf
2019,سليانة,12.58,9,770,سليانة,sliana
2019,القصرين,1179.536,13,18,القصرين,kasserine
2019,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2019,القيروان,54.56,12,13,القيروان,kairouan
2019,قفصة,0,0,16,قفصة,gafsa
2019,سوسة,0,0,12,سوسة,sousse
2019,صفاقس,0,0,10,صفاقس,sfax
2019,المهدية,0,0,35,المهدية,almhdia
2019,المنستير,0,0,20,المنستير,monastir
2019,قابس,0,0,14,قابس,gabès
2019,توزر,0,0,45,توزر,touzr
2019,تطاوين,0,0,5,تطاوين,tataouine
2019,مدنين,0,0,26,مدنين,mdnin
2019,قبلي,0,0,46,قبلي,qbli
2020,تونس,0.3,3,1,تونس,tunis
2020,أريانة,17,8,21,أريانة,ariana
2020,بن عروس,4.1,4,19,بن عروس,ben arous
2020,منوبة,40.26,9,774,منوبة,mnouba
2020,نابل,68.71,17,11,نابل,nabeul
2020,زغوان,35.4,17,318,زغوان,zghouan
2020,بنزرات,526.191,74,15,بنزرت,bizerte
2020,باجة,1084.49,97,28,باجة,baja
2020,جندوبة,342.481,148,37,جندوبة,jndouba
2020,الكاف,17.07,6,36,الكاف,alkaf
2020,سليانة,64.035,32,770,سليانة,sliana
2020,القصرين,22.026,25,18,القصرين,kasserine
2020,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2020,القيروان,53.712,17,13,القيروان,kairouan
2020,قفصة,0,0,16,قفصة,gafsa
2020,سوسة,0,0,12,سوسة,sousse
2020,صفاقس,0,0,10,صفاقس,sfax
2020,المهدية,0,0,35,المهدية,almhdia
2020,المنستير,0,0,20,المنستير,monastir
2020,قابس,0,0,14,قابس,gabès
2020,توزر,0,0,45,توزر,touzr
2020,تطاوين,0,0,5,تطاوين,tataouine
2020,مدنين,0,0,26,مدنين,mdnin
2020,قبلي,0,0,46,قبلي,qbli
2021,تونس,0.32,2,1,تونس,tunis
2021,أريانة,40.45,8,21,أريانة,ariana
2021,بن عروس,11,5,19,بن عروس,ben arous
2021,منوبة,49.79,16,774,منوبة,mnouba
2021,نابل,464.387,34,11,نابل,nabeul
2021,زغوان,1426.89,26,318,زغوان,zghouan
2021,بنزرات,408.24,87,15,بنزرت,bizerte
2021,باجة,189.468,37,28,باجة,baja
2021,جندوبة,4057.919,144,37,جندوبة,jndouba
2021,الكاف,3142.32,11,36,الكاف,alkaf
2021,سليانة,61.18,33,770,سليانة,sliana
2021,القصرين,14122.48,27,18,القصرين,kasserine
2021,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2021,القيروان,1833.18,27,13,القيروان,kairouan
2021,قفصة,0,NA,16,قفصة,gafsa
2021,سوسة,0,0,12,سوسة,sousse
2021,صفاقس,0,0,10,صفاقس,sfax
2021,المهدية,0,0,35,المهدية,almhdia
2021,المنستير,0,0,20,المنستير,monastir
2021,قابس,0,0,14,قابس,gabès
2021,توزر,0,0,45,توزر,touzr
2021,تطاوين,0,0,5,تطاوين,tataouine
2021,مدنين,0,0,26,مدنين,mdnin
2021,قبلي,0,0,46,قبلي,qbli
2022,تونس,0.007,1,1,تونس,tunis
2022,أريانة,846.9,10,21,أريانة,ariana
2022,بن عروس,885.5,11,19,بن عروس,ben arous
2022,منوبة,14.0235,9,774,منوبة,mnouba
2022,نابل,243.168,63,11,نابل,nabeul
2022,زغوان,675.055,25,318,زغوان,zghouan
2022,بنزرات,880.623,86,15,بنزرت,bizerte
2022,باجة,2166.735,111,28,باجة,baja
2022,جندوبة,1139.2298,180,37,جندوبة,jndouba
2022,الكاف,86.952,6,36,الكاف,alkaf
2022,سليانة,1250.515,18,770,سليانة,sliana
2022,القصرين,2.5005,10,18,القصرين,kasserine
2022,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2022,القيروان,382.774,19,13,القيروان,kairouan
2022,قفصة,0,0,16,قفصة,gafsa
2022,سوسة,0,0,12,سوسة,sousse
2022,صفاقس,0,0,10,صفاقس,sfax
2022,المهدية,0,0,35,المهدية,almhdia
2022,المنستير,0,0,20,المنستير,monastir
2022,قابس,0,0,14,قابس,gabès
2022,توزر,0,0,45,توزر,touzr
2022,تطاوين,0,0,5,تطاوين,tataouine
2022,مدنين,0,0,26,مدنين,mdnin
2022,قبلي,0,0,46,قبلي,qbli
2023,تونس,0,0,1,تونس,tunis
2023,أريانة,18.5,4,21,أريانة,ariana
2023,بن عروس,0,0,19,بن عروس,ben arous
2023,منوبة,0.5,3,774,منوبة,mnouba
2023,نابل,114.65,40,11,نابل,nabeul
2023,زغوان,12.91,14,318,زغوان,zghouan
2023,بنزرات,539.72,49,15,بنزرت,bizerte
2023,باجة,624.43,47,28,باجة,baja
2023,جندوبة,1484.68,100,37,جندوبة,jndouba
2023,الكاف,2.4,10,36,الكاف,alkaf
2023,سليانة,1242.03,38,770,سليانة,sliana
2023,القصرين,9.17,5,18,القصرين,kasserine
2023,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2023,القيروان,475.12,22,13,القيروان,kairouan
2023,قفصة,0,0,16,قفصة,gafsa
2023,سوسة,0,0,12,سوسة,sousse
2023,صفاقس,0,0,10,صفاقس,sfax
2023,المهدية,0,0,35,المهدية,almhdia
2023,المنستير,0,0,20,المنستير,monastir
2023,قابس,0,0,14,قابس,gabès
2023,توزر,0,0,45,توزر,touzr
2023,تطاوين,0,0,5,تطاوين,tataouine
2023,مدنين,0,0,26,مدنين,mdnin
2023,قبلي,0,0,46,قبلي,qbli
2024,تونس,0,0,1,تونس,tunis
2024,أريانة,11.55,11,21,أريانة,ariana
2024,بن عروس,1.42,4,19,بن عروس,ben arous
2024,منوبة,1.5,2,774,منوبة,mnouba
2024,نابل,30,39,11,نابل,nabeul
2024,زغوان,280,3,318,زغوان,zghouan
2024,بنزرات,322,61,15,بنزرت,bizerte
2024,باجة,142,30,28,باجة,baja
2024,جندوبة,59,69,37,جندوبة,jndouba
2024,الكاف,3,1,36,الكاف,alkaf
2024,سليانة,11,30,770,سليانة,sliana
2024,القصرين,7,19,18,القصرين,kasserine
2024,سيدي بوزيد,0.11,2,167,سيدي بوزيد,sidi bouzid
2024,القيروان,17,15,13,القيروان,kairouan
2024,قفصة,0.01,1,16,قفصة,gafsa
2024,سوسة,0,0,12,سوسة,sousse
